Region,UNDEFINED,UOPS,L1,MEM,L3I,PRE,RTM,OFFCORE,L3,BR,INT,L2,FE,STALL,TLB,FP
BilinearFilter::ApplyStencil(),nan,0.0,0.004988134207584121,0.0,0.0,0.0,nan,0.0,0.0,0.46111173601031025,0.0,1.0,0.0,0.0,0.004298763405912471,0.0
WarpX::shiftMF(),nan,0.015499908135265549,0.5299169203905123,1.0,0.0,0.0,nan,0.0,0.0,0.007658319651239972,0.0,0.0,0.0,0.015854116339427436,0.7258670880502079,0.0
main,nan,0.0,0.0,0.005061874807694277,0.0,0.0,nan,0.0,0.0,0.7317445050719575,0.5493455126416374,0.04054314189627698,0.0,1.0,0.08825147026166359,0.0009708914298359858
