#	128		256		4096
FP	1.0		1.0		0.606319
BR	0.360839	0.522118	1.000000
TLB	0.238751	0.253945	0.468077
L1	0.051878	0.186899	0.096784
L2	0.776874	0.638438	0.534525
L3	0.201644	0.0		0.000000
MEM	0.0		0.067795	0.193902
PREFETCH	0.051783	0.193028	0.338945
