#	ADD		SCALE		COPY		TRIAD
FP	0.34064		0.419901	0.245795	0.281066
BR	0.478886	0.49426		0.527736	0.52612
TLB	0.494066	0.638707	0.372049	0.533285
L1	0.180967	0.184		0.207039	0.171115
L2	0.352552	0.378952	0.749191	0.40952
L3	0.859825	0.360397	0.756278	0.768652
MEM	0.930015	0.952462	0.71906	0.863957
PREFETCH	0.004841	0	0	0
