Region,OFFCORE,UNDEFINED,RTM,FE,TLB,STALL,INT,L1,L3,L3I,BR,MEM,L2,UOPS,PRE,FP
Nyx::remove_virtual_particles(),0.0002250911666423211,nan,nan,0.00018952085829544992,0.00016563704563648992,0.00022155049762566636,0.00022758981696730044,0.0002222307690828486,0.00022319092279461894,0.00022978328265505198,0.00021079450889780138,0.0002179192173688879,0.00017499458995453996,0.00021606711762408537,0.000221855486944382,0.000228500499871048
Nyx::setup_virtual_particles(),0.00021748070071205913,nan,nan,0.00019841678149726683,0.00021091917772435466,0.00021237467816820465,0.0002155656427125744,0.00020814894814787698,0.00021672637597584254,0.00022211913125269665,0.0001872936029147122,0.00021337248790357117,0.00017891971369143886,0.00018367723812931513,0.00021744303733374216,0.00022211913125269665
Nyx::strang_hydro(),449.6478466881184,nan,nan,540.255349534888,443.88404746971145,531.5949926932001,546.8144028896443,540.1629906885058,491.29343380156484,546.8144028896443,546.8144028896443,442.9390268882134,493.13343928555656,505.13220535345164,544.6816836690954,538.2018708117691
analriem,100.92649168459191,nan,nan,96.93736526163157,84.83338748725943,96.84088705787777,104.29031288145109,98.97101985798471,100.21449170445713,104.29031288145109,103.6651302124639,82.58510693272214,81.42962167500369,103.83887050095059,98.08491085510603,104.29031288145109
ctoprim,7.177103159173461,nan,nan,6.657351383723122,6.466987365380792,6.531361387104334,7.218185652914159,6.7884135003714805,7.219743740404114,7.190833417419307,5.754135218637147,5.557531140874104,7.147302879784207,6.9160662477213215,7.2434947753138355,7.190242762749842
loop1,1.5260647885308836,nan,nan,1.4795018331303957,1.1551540804919165,1.3253029537034535,1.5251801926889692,1.5023492742468223,1.5054815205806442,1.5314197506014209,1.2147182993918466,1.3048437805551378,1.524045353360196,1.3143653311069337,1.5314197506014209,1.5314197506014209
loop2,0.861839374492268,nan,nan,0.8995774505630921,0.7204295103546297,0.7744789112819657,0.92495262255479,0.8180175218606431,0.8910889429487071,0.92495262255479,0.9230106804748115,0.7565314366973073,0.8271915769870766,0.8659084662588066,0.9127591369613127,0.921703127515177
loop3,0.7583283499892294,nan,nan,0.7754478360583756,0.6402537486792624,0.7545411374037871,0.8140530755125766,0.662978620875571,0.7712145726303593,0.8140530755125766,0.8140530755125766,0.6736089771208144,0.710159253259526,0.8021337479959278,0.8071435981732082,0.8046938961675604
loop4,0.7400029342403738,nan,nan,0.7831892125677167,0.6705209270358818,0.6648465199163908,0.775973786823964,0.7437941253089818,0.7949034711785999,0.8265002290617914,0.8248610061333106,0.7288338733018178,0.7331010773246752,0.8154020358652585,0.8189443582425798,0.8263164033691758
loop5,0.7615936822590643,nan,nan,0.703660413846193,0.6839542478863401,0.7348734618411221,0.8025204122464914,0.7236429537223696,0.7912174985344859,0.8025204122464914,0.8025204122464914,0.6210785155776405,0.6727183999233597,0.7985696682626204,0.7803648987027056,0.7921828186376347
loop6,0.762473442493005,nan,nan,0.7554771714516635,0.6915195504534677,0.7624367337835406,0.8413739787024623,0.7355150777691067,0.8300228679499004,0.8413739787024623,0.839598554238918,0.7301702643918121,0.6886591986430775,0.8340737034819758,0.8349945588528512,0.8261750637709165
loop7,0.7644605339359156,nan,nan,0.8081012317494454,0.6847383473529044,0.6656245768373806,0.8089452318621041,0.7379208767100205,0.7983772989571679,0.8104759713677552,0.8089555672790537,0.6888428214019633,0.6350535603350386,0.805030769765068,0.7794827389703303,0.8035359932740173
loop8,0.7956615944882822,nan,nan,0.7480704191705787,0.7095230432981793,0.6868239058270292,0.8345472138229844,0.6993273295999206,0.8356283966705316,0.8345472138229844,0.8345472138229844,0.6935152820489359,0.7370036131674229,0.8306070539915711,0.8227853147750919,0.8264669392692655
loop9,0.797661622092345,nan,nan,0.7399303847667322,0.6113644218489697,0.741279039730739,0.8107204008162406,0.7308857632306943,0.7872178836236975,0.8123245539114231,0.810238725644347,0.6681354365618266,0.7355339359889619,0.8123245539114231,0.7971091784978301,0.7679619776401145
main,59.86307115513559,nan,nan,60.47247164135402,59.771233055622204,62.09702780469844,64.42212437322075,65.7087646564523,63.70982006956992,65.54152042012299,66.47173444571406,52.63942799401348,60.332186220821875,60.39210044569734,66.938829050848,66.938829050848
passive_advection,2.2062315654514286,nan,nan,2.072531774671422,1.7193877820295216,1.9160703675875257,2.330864114868993,2.3015265509460976,2.310648878641349,2.314752874672158,2.330864114868993,1.9264655129047876,2.123887238130517,2.3259540943007426,2.330864114868993,2.3067088525390083
x_direction,18.356053981339585,nan,nan,16.595182795934853,14.830940467286004,17.898773362186922,19.292429802088677,17.520888774579156,17.763492763599935,19.246748247730046,19.236643863468963,16.448433079414688,16.87947836481769,18.58618366518244,19.162184849134444,19.292429802088677
y_direction,18.276749853446844,nan,nan,18.76354157593575,16.73244818568238,18.233210013146095,19.646605042980696,18.35333285109136,18.92157234056387,19.646605042980696,19.646605042980696,15.022263788664342,17.185480415431293,18.400513560989758,17.954000036773092,19.646605042980696
z_direction,18.83366850441436,nan,nan,19.758078421503697,16.708565439812336,18.756497964251743,19.826075716526155,20.418372567282947,19.405271985386804,19.826075716526155,19.61098461698477,14.728359731633091,14.481280215871932,17.746820872077947,19.826075716526155,18.764797256893573
