Event,Desc
MACHINE_CLEARS.FP_ASSIST,This event counts the number of times that the pipeline stalled due to FP operations needing assists.
MACHINE_CLEARS.MEMORY_ORDERING,Counts the number of times the machine clears due to memory ordering hazards
MACHINE_CLEARS.SMC,Counts the number of times that the machine clears due to program modifying data within 1K of a recently fetched code page
MEM_UOPS_RETIRED.ALL_LOADS,This event counts the number of load micro-ops retired.
MEM_UOPS_RETIRED.ALL_STORES,This event counts the number of store micro-ops retired.
MEM_UOPS_RETIRED.DTLB_MISS_LOADS,Counts the number of load micro-ops retired that cause a DTLB miss
MEM_UOPS_RETIRED.DTLB_MISS_LOADS_PS,Counts the number of load micro-ops retired that cause a DTLB miss (Precise Event)
MEM_UOPS_RETIRED.HITM,Counts the loads retired that get the data from the other core in the same tile in M state
MEM_UOPS_RETIRED.HITM_PS,This event counts the number of load micro-ops retired that got data from another core’s cache. (Precise Event).
MEM_UOPS_RETIRED.L1_MISS_LOADS,This event counts the number of load micro-ops retired that miss in L1 Data cache. Note that prefetch misses will not be counted. 
MEM_UOPS_RETIRED.L2_HIT_LOADS,Counts the number of load micro-ops retired that hit in the L2
MEM_UOPS_RETIRED.L2_HIT_LOADS_PS,This event counts the number of load micro-uops retired that hit in the L2 (Precise Event)
MEM_UOPS_RETIRED.L2_MISS_LOADS,Counts the number of load micro-ops retired that miss in the L2
MEM_UOPS_RETIRED.L2_MISS_LOADS_PS,This event counts the number of load micro-ops retired that miss in the L2 (Precise Event)
MEM_UOPS_RETIRED.UTLB_MISS_LOADS,Counts the number of load micro-ops retired that caused micro TLB miss
MS_DECODED.MS_ENTRY,Counts the number of times the MSROM starts a flow of uops.
NO_ALLOC_CYCLES.ALL,Counts the total number of core cycles when no micro-ops are allocated for any reason.
NO_ALLOC_CYCLES.MISPREDICTS,This event counts the number of core cycles when no uops are allocated and the alloc pipe is stalled waiting for a mispredicted branch to retire.
NO_ALLOC_CYCLES.NOT_DELIVERED,"This event counts the number of core cycles when no uops are allocated, the instruction queue is empty and the alloc pipe is stalled waiting for instructions to be fetched."
NO_ALLOC_CYCLES.RAT_STALL,Counts the number of core cycles when no micro-ops are allocated and a RATstall (caused by reservation station full) is asserted.  
NO_ALLOC_CYCLES.ROB_FULL,Counts the number of core cycles when no micro-ops are allocated and the ROB is full
OFFCORE_RESPONSE,Counts the matrix events specified by MSR_OFFCORE_RESPx
PAGE_WALKS.CYCLES,This event counts every cycle when a data (D) page walk or instruction (I) page walk is in progress.
PAGE_WALKS.D_SIDE_CYCLES,Counts the total number of core cycles for all the D-side page walks. The cycles for page walks started in speculative path will also be included.
PAGE_WALKS.D_SIDE_WALKS,Counts the total D-side page walks that are completed or started. The page walks started in the speculative path will also be counted
PAGE_WALKS.I_SIDE_CYCLES,This event counts every cycle when an I-side (walks due to an instruction fetch) page walk is in progress. 
PAGE_WALKS.I_SIDE_WALKS,Counts the total I-side page walks that are completed.
PAGE_WALKS.WALKS,Counts the total page walks that are completed (I-side and D-side)
RECYCLEQ.ANY_LD,Counts any retired load that was pushed into the recycle queue for any reason.
RECYCLEQ.ANY_ST,Counts any retired store that was pushed into the recycle queue for any reason.
RECYCLEQ.LD_BLOCK_ST_FORWARD,Counts the number of occurrences a retired load gets blocked because its address partially overlaps with a store
RECYCLEQ.LD_BLOCK_ST_FORWARD_PS,This event counts the number of retired loads that were prohibited from receiving forwarded data from a previous store because of address mismatch. 
RECYCLEQ.LD_BLOCK_STD_NOTREADY,Counts the number of occurrences a retired load gets blocked because its address overlaps with a store whose data is not ready
RECYCLEQ.LD_SPLITS,Counts the number of occurrences a retired load that is a cache line split. Each split should be counted only once.
RECYCLEQ.LD_SPLITS_PS,This event counts the number of retired loads which was pushed into the recycled queue that experienced cache line boundary splits (Precise event). Not that each split should be counted only once.
RECYCLEQ.LOCK,Counts all the retired locked loads. It does not include stores because we would double count if we count stores
RECYCLEQ.ST_SPLITS,This event counts the number of retired store that experienced a cache line boundary split(Precise Event). Note that each spilt should be counted only once.
RECYCLEQ.STA_FULL,Counts the store micro-ops retired that were pushed in the rehad queue because the store address buffer is full
RS_FULL_STALL.ALL,Counts the total number of core cycles allocation pipeline is stalled when any one of the reservation stations is full.
RS_FULL_STALL.MEC,Counts the number of core cycles when allocation pipeline is stalled and is waiting for a free MEC reservation station entry.
UOPS_RETIRED.ALL,"This event counts the number of micro-ops (uops) retired. The processor decodes complex macro instructions into a sequence of simpler uops. Most instructions are composed of one or two uops. Some instructions are decoded into longer sequences such as repeat instructions, floating point transcendental instructions, and assists. "
UOPS_RETIRED.MS,This event counts the number of micro-ops retired that were supplied from MSROM.
UOPS_RETIRED.PACKED_SIMD,"The length of the packed operation (128bits, 256bits or 512bits) is not taken into account when updating the counter; all count the same (+1). 
Mask (k) registers are ignored. For example: a micro-op operating with a mask that only enables one element or even zero elements will still trigger this counter (+1)
This event is defined at the micro-op level and not instruction level. Most instructions are implemented with one micro-op but not all."
UOPS_RETIRED.SCALAR_SIMD,This event is defined at the micro-op level and not instruction level. Most instructions are implemented with one micro-op but not all.
UNC_C_TOR_INSERTS.IPQ_HIT,Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -IPQ
UNC_C_TOR_INSERTS.IPQ_MISS,Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -IPQ
UNC_C_TOR_INSERTS.IRQ_HIT,Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -IRQ
UNC_C_TOR_INSERTS.IRQ_MISS,Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -IRQ 
UNC_C_TOR_INSERTS.LOC_ALL,Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -IRQ or PRQ
UNC_C_TOR_INSERTS.PRQ_HIT,Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -PRQ
UNC_C_TOR_INSERTS.PRQ_MISS,Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -PRQ
UNC_E_E_CLOCKTICKS,ECLK count
UNC_E_EDC_ACCESS.HIT_CLEAN,Counts the number of read requests and streaming stores that hit in MCDRAM cache and the data in MCDRAM is clean with respect to DDR. This event is only valid in cache and hybrid memory mode.
